s0,human_ans,Paraphrase T5 E3,Paraphrase T5 E5,Paraphrase Bart E1,Paraphrase Bart E3,Highest Precision T5 E3,Highest Recall T5 E3,Highest Precision T5 E5,Highest Recall T5 E5,Highest Precision Bart E1,Highest Recall Bart E1,Highest Precision Bart E3,Highest Recall Bart E3
I'll go and collect my hat and *coat*!’,['jacket' 'anorak'],jacket,jacket,coat,jacket,1.00000048,1.00000048,1.00000048,1.00000048,0.99766493,0.99766493,1.00000048,1.00000048
"But it still leaves us with the crucial problem that Sartre had to solve, namely how to *link* human consciousness with the processes of history so that the former can be said to be the agent of the latter.",['connect' 'associate' 'join' 'channel'],connect,connect,bring,equals,1.00000036,1.00000036,1.00000036,1.00000036,0.99951935,0.99951935,0.99971139,0.99971139
"Only certain types of property normally *come* to auction, however.",['arrive' 'make' 'go'],go,go,come,come,1.00000036,1.00000036,1.00000036,1.00000036,0.99984777,0.99984777,0.99984777,0.99984777
"I said oh *come* on, we might as well go down and have a look.",['go' 'move' 'proceed'],go,go,come,get,1.00000036,1.00000036,1.00000036,1.00000036,0.99984777,0.99984777,0.99979037,0.99979037
These factors are worthy of *emphasis* because in practice they are still dealt with very badly in many organisations and yet it takes little trouble or expertise to make an enormous difference.,['attention' 'significance' 'stressing' 'highlighting'],attention,attention,sound,point,1.00000024,1.00000024,1.00000024,1.00000024,0.94928247,0.94928247,0.99948049,0.99948049
"He watched his aunt and Miss Williams wordlessly consult each other, but knew his aunt would do as she was told; successful *solicitor* though she was, she was ten years younger than Miss Williams and, as she complained, totally intimidated by her as she had not been by anyone since her late headmistress.",['lawyer' 'women' 'barrister' 'litigator'],lawyer,lawyer,lawyer,attorney,1.00000024,1.00000024,1.00000024,1.00000024,1.00000024,1.00000024,0.99969482,0.99969482
"In theory, validation *meant* that the user had read the specification, imagined how the system would work in practice, and agreed the design.",['indicated' 'signified' 'supposed' 'intended'],indicated,indicated,meant,means,1.00000024,1.00000024,1.00000024,1.00000024,0.99966848,0.99966848,0.99911547,0.99911547
"Mum, why aren't you gon na *put* your microphone on.",['turn'],turn,turn,put,put,1.00000024,1.00000024,1.00000024,1.00000024,0.99896073,0.99896073,0.99896073,0.99896073
"If you should stroll into a pub and meet an analyst and a user talking about work, and you can not tell one from the other, they have probably developed a *successful* system together.",['prosperous' 'functional' 'good' 'working' 'effective' 'established'],good,good,good,good,1.00000024,1.00000024,1.00000024,1.00000024,1.00000024,1.00000024,1.00000024,1.00000024
‘How did he *handle* the questions?’,['manage' 'answer' 'conduct'],answer,answer,bring,handle,1.00000024,1.00000024,1.00000024,1.00000024,0.99916327,0.99916327,0.99936914,0.99936914
