s0,human_ans,Paraphrase T5 E3,Paraphrase T5 E5,Paraphrase Bart E1,Paraphrase Bart E3,Highest Precision T5 E3,Highest Recall T5 E3,Highest Precision T5 E5,Highest Recall T5 E5,Highest Precision Bart E1,Highest Recall Bart E1,Highest Precision Bart E3,Highest Recall Bart E3
I'll go and collect my hat and *coat*!’,['jacket' 'anorak'],jacket,jacket,coat,jacket,1.00000048,1.00000048,1.00000048,1.00000048,0.99766493,0.99766493,1.00000048,1.00000048
"But it still leaves us with the crucial problem that Sartre had to solve, namely how to *link* human consciousness with the processes of history so that the former can be said to be the agent of the latter.",['connect' 'associate' 'join' 'channel'],connect,connect,bring,equals,1.00000036,1.00000036,1.00000036,1.00000036,0.99951935,0.99951935,0.99971139,0.99971139
"I said oh *come* on, we might as well go down and have a look.",['go' 'move' 'proceed'],go,go,come,get,1.00000036,1.00000036,1.00000036,1.00000036,0.99984777,0.99984777,0.99979037,0.99979037
"Only certain types of property normally *come* to auction, however.",['arrive' 'make' 'go'],go,go,come,come,1.00000036,1.00000036,1.00000036,1.00000036,0.99984777,0.99984777,0.99984777,0.99984777
"Sartre's *stress* on the role of the subject also finds approval because many of those no longer prepared to argue for a general theory of history as the progress of a single narrative of class-struggle, have begun to argue instead for a return of its correlative, the subject, almost as if it was the next best thing in the absence of history itself.",['emphasis' 'concentration'],emphasis,focus,point,point,1.00000024,1.00000024,0.99957442,0.99957442,0.9994821,0.9994821,0.9994821,0.9994821
"If you should stroll into a pub and meet an analyst and a user talking about work, and you can not tell one from the other, they have probably developed a *successful* system together.",['prosperous' 'functional' 'good' 'working' 'effective' 'established'],good,good,good,good,1.00000024,1.00000024,1.00000024,1.00000024,1.00000024,1.00000024,1.00000024,1.00000024
"Under *strain* for a start because it was technically ill-equipped to avert disaster or to cope with the consequences when disaster struck; under strain from commercial pressures which, as the inquiry puts it, ‘compromised’ safety; under strain above all because the people on the spot couldn't or wouldn't cope, were weary from gruesome working hours (the senior signal technician who heads the list of the culpable had had only one day off in the past 13 weeks), lacked adequate training, or simply couldn't be bothered.",['stress' 'pressure'],pressure,pressure,definite,proved,1.00000024,1.00000024,1.00000024,1.00000024,0.99933082,0.99933082,0.9994871,0.9994871
"It would be *able* to ‘require each government department to review its policies, practices, and existing and proposed legislation’.",['possible' 'permissible'],possible,possible,certain,permitted,1.00000024,1.00000024,1.00000024,1.00000024,0.99926943,0.99926943,0.99948871,0.99948871
"The character of the rocks, and their setting in the past geography at the time when they accumulated, *diagnoses* the climatic setting in which the extinct fauna lived, and climate imposes certain restraints on possible modes of life.",['determines' 'prognosis' 'identify' 'identifies' 'analyses'],determines,determines,suppose,identifies,1.00000024,1.00000024,1.00000024,1.00000024,0.99933159,0.99933159,0.99999988,0.99999988
"Much as in 1980–1, the ‘social causes’ argument can not be seen separately from the *broader* debate about the future of the British economy and society.",['wider' 'larger'],larger,larger,major,major,1.00000024,1.00000024,1.00000024,1.00000024,0.99963045,0.99963045,0.99963045,0.99963045
