,sentence,paraphrase_word
0,i ate *the* cheese .,some
1,i *eat* some cheese .,ate
2,i ate *some* cheese .,the
3,i *ate* some cheese .,eat
4,it *'s* monday .,is
5,it *is* monday today .,'s
6,it *'s* monday today .,is
7,*today* is monday .,it
8,it *is* monday .,'s
9,*it* is monday .,today
10,where is the *library* ?,librarian
11,where *is* the library ?,'s
12,where is the *librarian* ?,library
13,where *'s* the library ?,is
14,does *he* speak english ?,she
15,are *they* speaking english ?,you
16,does *she* speak english ?,he
17,are *you* speaking english ?,they
18,i 'll be *there* tomorrow .,here
19,i 'll be *here* tomorrow .,there
20,i 'm a little *bit* tired .,just
21,i 'm *just* a little tired .,bit
22,i owe *him* one .,her
23,i owe him *one* .,money
24,i owe *her* one .,him
25,i owe her *one* .,money
26,i owe *you* money .,him
27,i owe *you* money .,her
28,i owe him *money* .,one
29,i owe *him* money .,you
30,i owe *him* money .,her
31,i owe her *money* .,one
32,i owe *her* money .,you
33,i owe *her* money .,him
34,spring has *come* .,returned
35,spring is *here* .,coming
36,spring *arrived* .,returned
37,spring *arrived* .,came
38,spring is *coming* .,here
39,*spring* is coming .,monsoon
40,spring *returned* .,arrived
41,spring *returned* .,came
42,spring has *returned* .,come
43,*monsoon* is coming .,spring
44,spring *came* .,arrived
45,spring *came* .,returned
46,what are you *cross* about ?,mad
47,what are you *cross* about ?,angry
48,what are you *cross* about ?,sorry
49,what made *you* so angry ?,her
50,what made *her* so angry ?,you
51,why is *he* angry ?,she
52,why is he *angry* ?,sad
53,why are you *angry* ?,irritated
54,why are *you* angry ?,they
55,why are you *angry* ?,mad
56,why are you *angry* ?,afraid
57,why are you *angry* ?,upset
58,why are you *angry* ?,scared
59,why are you *angry* ?,flinching
60,why are you *angry* ?,sad
61,why are you *irritated* ?,angry
62,why are you *irritated* ?,mad
63,why are you *irritated* ?,afraid
64,why are you *irritated* ?,upset
65,why are you *irritated* ?,scared
66,why are you *irritated* ?,flinching
67,why are you *irritated* ?,sad
68,why is *she* angry ?,he
69,why are *they* angry ?,you
70,why are they *angry* ?,mad
71,why are you *mad* ?,angry
72,why are you *mad* ?,irritated
73,why are you *mad* ?,afraid
74,why are you *mad* ?,upset
75,why are you *mad* ?,scared
76,why are you *mad* ?,flinching
77,why are you *mad* ?,sad
78,why are *you* mad ?,they
79,why are you *afraid* ?,angry
80,why are you *afraid* ?,irritated
81,why are you *afraid* ?,mad
82,why are you *afraid* ?,upset
83,why are you *afraid* ?,scared
84,why are you *afraid* ?,flinching
85,why are you *afraid* ?,sad
86,what are you *mad* about ?,cross
87,what are you *mad* about ?,angry
88,what are you *mad* about ?,sorry
89,what are you so *uptight* about ?,worried
90,what are you so *uptight* about ?,nervous
91,why are you *upset* ?,angry
92,why are you *upset* ?,irritated
93,why are you *upset* ?,mad
94,why are you *upset* ?,afraid
95,why are you *upset* ?,scared
96,why are you *upset* ?,flinching
97,why are you *upset* ?,sad
98,what are you *angry* about ?,cross
99,what are you *angry* about ?,mad
100,what are you *angry* about ?,sorry
101,what are you so *worried* about ?,uptight
102,what are you so *worried* about ?,nervous
103,what are you so *nervous* about ?,uptight
104,what are you so *nervous* about ?,worried
105,what are you *sorry* about ?,cross
106,what are you *sorry* about ?,mad
107,what are you *sorry* about ?,angry
108,why are you *scared* ?,angry
109,why are you *scared* ?,irritated
110,why are you *scared* ?,mad
111,why are you *scared* ?,afraid
112,why are you *scared* ?,upset
113,why are you *scared* ?,flinching
114,why are you *scared* ?,sad
115,why are you *flinching* ?,angry
116,why are you *flinching* ?,irritated
117,why are you *flinching* ?,mad
118,why are you *flinching* ?,afraid
119,why are you *flinching* ?,upset
120,why are you *flinching* ?,scared
121,why are you *flinching* ?,sad
122,what made *them* so mad ?,him
123,what made *him* so mad ?,them
124,what made *you* mad ?,him
125,what made *you* mad ?,her
126,what *mad*e you *mad* ?,angry
127,what made *him* mad ?,you
128,what made *him* mad ?,her
129,what *mad*e him *mad* ?,angry
130,what made *her* mad ?,you
131,what made *her* mad ?,him
132,what *mad*e her *mad* ?,angry
133,what made you *angry* ?,mad
134,what made *you* angry ?,him
135,what made *you* angry ?,her
136,what made him *angry* ?,mad
137,what made *him* angry ?,you
138,what made *him* angry ?,her
139,what made her *angry* ?,mad
140,what made *her* angry ?,you
141,what made *her* angry ?,him
142,why are you *sad* ?,angry
143,why are you *sad* ?,irritated
144,why are you *sad* ?,mad
145,why are you *sad* ?,afraid
146,why are you *sad* ?,upset
147,why are you *sad* ?,scared
148,why are you *sad* ?,flinching
149,why are they *mad* ?,angry
150,why are *they* mad ?,you
151,why is he *sad* ?,angry
152,i love *that* store .,this
153,i love *this* store .,that
154,i *love* this store .,like
155,i *like* this store .,love
156,*it* 's my money .,that
157,this money is *mine* .,my
158,this is *my* money .,mine
159,*that* 's my money .,it
160,i *like* occitan .,love
161,i *love* occitan .,like
162,where *is* the bank ?,'s
163,where *'s* the bank ?,is
164,this place is *great* .,fantastic
165,this place is *great* .,perfect
166,this place is *fantastic* .,great
167,this place is *fantastic* .,perfect
168,this is a *great* place .,fantastic
169,this place is *perfect* .,great
170,this place is *perfect* .,fantastic
171,this is a *fantastic* place .,great
172,it *does* n't hurt .,wo
173,it *wo* n't hurt .,does
174,i 'm not *stupid* .,crazy
175,i 'm not *stupid* .,dumb
176,i 'm not *stupid* .,insane
177,i 'm not *stupid* .,mad
178,i 'm not *stupid* .,sick
179,i *'m* not stupid .,am
180,*he* 's not sick .,she
181,i 'm not *crazy* .,stupid
182,i 'm not *crazy* .,dumb
183,i 'm not *crazy* .,insane
184,i 'm not *crazy* .,mad
185,i 'm not *crazy* .,sick
186,i 'm not a *fool* .,patient
187,i 'm not a *fool* .,moron
188,i 'm not a *fool* .,madman
189,i 'm no *fool* .,dummy
190,i 'm not *dumb* .,stupid
191,i 'm not *dumb* .,crazy
192,i 'm not *dumb* .,insane
193,i 'm not *dumb* .,mad
194,i 'm not *dumb* .,sick
195,i 'm not *insane* .,stupid
196,i 'm not *insane* .,crazy
197,i 'm not *insane* .,dumb
198,i 'm not *insane* .,mad
199,i 'm not *insane* .,sick
200,i 'm not *mad* .,stupid
201,i 'm not *mad* .,crazy
202,i 'm not *mad* .,dumb
203,i 'm not *mad* .,insane
204,i 'm not *mad* .,sick
205,i 'm not *sick* .,stupid
206,i 'm not *sick* .,crazy
207,i 'm not *sick* .,dumb
208,i 'm not *sick* .,insane
209,i 'm not *sick* .,mad
210,i *'m* not sick .,am
211,i 'm not a *patient* .,fool
212,i 'm not a *patient* .,moron
213,i 'm not a *patient* .,madman
214,*she* 's not sick .,he
215,i *am* not stupid .,'m
216,i am not *stupid* .,sick
217,i am not *stupid* .,ill
218,i *am* not sick .,'m
219,i am not *sick* .,stupid
220,i am not *sick* .,ill
221,i am not *ill* .,stupid
222,i am not *ill* .,sick
223,i 'm not a *moron* .,fool
224,i 'm not a *moron* .,patient
225,i 'm not a *moron* .,madman
226,i 'm no *dummy* .,fool
227,i 'm not a *madman* .,fool
228,i 'm not a *madman* .,patient
229,i 'm not a *madman* .,moron
230,i 'm not that *dumb* .,crazy
231,i 'm not that *dumb* .,daft
232,i 'm not that *crazy* .,dumb
233,i 'm not that *crazy* .,daft
234,i 'm not that *daft* .,dumb
235,i 'm not that *daft* .,crazy
236,i miss *that* place .,this
237,i miss *this* place .,that
238,i saw *you* yesterday .,her
239,i saw *you* yesterday .,them
240,i saw *her* yesterday .,you
241,i saw *her* yesterday .,them
242,i saw *them* yesterday .,you
243,i saw *them* yesterday .,her
244,i *do* n't speak japanese .,could
245,i *do* n't speak japanese .,ca
246,i *could* n't speak japanese .,do
247,i *could* n't speak japanese .,ca
248,*he* speaks english .,she
249,i *ca* n't speak japanese .,do
250,i *ca* n't speak japanese .,could
251,*she* speaks english .,he
252,the dog *was* dead .,is
253,the dog is *dying* .,dead
254,the dog *is* dead .,was
255,the dog is *dead* .,dying
256,the *dog* is dead .,mammal
257,the *mammal* is dead .,dog
258,i did n't see *it* .,her
259,i did n't see *it* .,him
260,i did n't see *it* .,you
261,i did n't see *it* .,that
262,i did n't see *it* .,them
263,i did n't see *her* .,it
264,i did n't see *her* .,him
265,i did n't see *her* .,you
266,i did n't see *her* .,that
267,i did n't see *her* .,them
268,i did n't see *him* .,it
269,i did n't see *him* .,her
270,i did n't see *him* .,you
271,i did n't see *him* .,that
272,i did n't see *him* .,them
273,i did n't see *you* .,it
274,i did n't see *you* .,her
275,i did n't see *you* .,him
276,i did n't see *you* .,that
277,i did n't see *you* .,them
278,i did n't see *that* .,it
279,i did n't see *that* .,her
