	word	gloss1	more_similar	gloss2a	gloss2b
0	operate	To provide with equipment and personnel for the purpose of carrying out a task.		to organize a service or system and make it available to people	if equipment operates, it works and does what it is intended to do
1	face	To be confronted with.		to be opposite someone or something so that your face or front is towards them	if you face a problem, or if it faces you, it is likely or certain to happen and you have to deal with it
2	manage	To act as manager of.		to deal successfully with a person or animal whose behaviour is difficult	to organize and control the work of a company, organization, or group of people
3	share	To give or receive something to another.		to use or to have something at the same time as someone else	to use or to have something at the same time as someone else
4	hear	To receive or receive as a message.		used for talking about the things that people say	to realize that someone or something is making a sound
5	illustrate	To give an illustration of.		to show something by using pictures, diagrams, lists of numbers etc	to draw the pictures in a book, or to put pictures in a book
6	suggest	To make a suggestion ; to make a suggestion.		to say that something is likely to exist or to be true	to make you think that something is likely to exist or to be true
7	extend	To give out ; to give out ; to give out.		to offer something such as a welcome, thanks, or sympathy to someone	to increase the size of a building or area, especially by adding extra parts onto it
8	bear	To accept, accept, or accept as true ; to accept as true ; to accept as true ; to accept as true ; to		to carry or take someone or something somewhere	if you cannot bear something, you cannot accept or do it because it makes you very unhappy
9	change	To make something different ; to alter.		to replace something with a new or different thing	to become different, or to make someone or something different
10	contain	To include ; to include.		to include something, or to have it as a part	a container, envelope, room etc that contains something has something inside it
11	manage	To be able to do something successfully.		to deal successfully with a person or animal whose behaviour is difficult	to succeed in doing something, especially something that needs a lot of effort or skill
12	join	To become a member of.		to become a member of an organization, club etc	if you join a road, train, boat etc, you start to travel on it
13	reach	To arrive at a destination.		to manage to touch something or pick it up by stretching out your hand, arm, leg etc	to arrive somewhere
14	introduce	To bring into existence ; to bring into existence.		to start to use a new system, process, or law for the first time	to tell someone another person’s name when they meet for the first time
15	share	To be in a similar position or position ; to be in a similar position or position ; to be in a similar position.		to use or to have something at the same time as someone else	to have the same opinion or feeling as someone else
16	ask	To request ; to request.		to speak or write to someone in order to get information from them	to speak or write to someone because you want them to give you something
17	fail	To be unsuccessful.		to be unsuccessful in achieving a satisfactory level or standard	to be unsuccessful when you try to do something
18	open	To become available for business.		if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time	to move a door or window into a position that allows people or things to pass through
19	bend	To make ( someone ) feel uncomfortable.		to become curved or folded and not straight	to become curved or folded and not straight
20	reach	To be transmitted to ; to be transmitted to.		if something such as a programme or message reaches people, they see it or hear it	to manage to touch something or pick it up by stretching out your hand, arm, leg etc
21	evolve	To change from one form or form to another.		to gradually develop particular physical features	to develop something gradually
22	link	To join or join in a relationship.		if people, things, or events are linked, they are related to each other in some way	to connect two or more places
23	bother	To disturb, disturb, or disturb ; to disturb, especially by minor irritations.		to annoy someone by interrupting them when they are busy or want to be left alone	to cause someone physical pain
24	manage	To be able to do something successfully.		to deal successfully with a person or animal whose behaviour is difficult	to succeed in doing something, especially something that needs a lot of effort or skill
25	contain	To have as a part ; to have as a part ; to have as a part.		to include something, or to have it as a part	a container, envelope, room etc that contains something has something inside it
26	hunt	To play a lute or oboe.		to kill animals for food or for their skin or other parts, or for sport	to kill animals for food or for their skin or other parts, or for sport
27	operate	To be employed ; to be employed.		if equipment operates, it works and does what it is intended to do	if someone operates in a particular way, that is how they achieve what they want to do
