	word	gloss1	more_similar	gloss2a	gloss2b
0	operate	To control or manage.		to organize a service or system and make it available to people	if equipment operates, it works and does what it is intended to do
1	face	To have to deal with.		if you face a problem, or if it faces you, it is likely or certain to happen and you have to deal with it	to be opposite someone or something so that your face or front is towards them
2	manage	To be in charge of, act on, or dispose of ; to manage.		to deal successfully with a person or animal whose behaviour is difficult	to organize and control the work of a company, organization, or group of people
3	share	To share ( something ) with others.		to use or to have something at the same time as someone else	to use or to have something at the same time as someone else
4	hear	To perceive or comprehend.		to realize that someone or something is making a sound	used for talking about the things that people say
5	illustrate	To serve as an illustration of ; to illustrate.		to draw the pictures in a book, or to put pictures in a book	to show something by using pictures, diagrams, lists of numbers etc
6	suggest	To point out ; to mention.		to make you think that something is likely to exist or to be true	to say that something is likely to exist or to be true
7	extend	To bestow ; to offer.		to increase the size of a building or area, especially by adding extra parts onto it	to offer something such as a welcome, thanks, or sympathy to someone
8	bear	To tolerate ( something ).		if you cannot bear something, you cannot accept or do it because it makes you very unhappy	to carry or take someone or something somewhere
9	change	To make or become different.		to replace something with a new or different thing	to become different, or to make someone or something different
10	contain	To contain ( something ).		to include something, or to have it as a part	a container, envelope, room etc that contains something has something inside it
11	manage	To succeed in achieving something.		to succeed in doing something, especially something that needs a lot of effort or skill	to deal successfully with a person or animal whose behaviour is difficult
12	join	To become a member of.		to become a member of an organization, club etc	if you join a road, train, boat etc, you start to travel on it
13	reach	To arrive at ; to get to ( a place ).		to manage to touch something or pick it up by stretching out your hand, arm, leg etc	to arrive somewhere
14	introduce	To bring ( something ) into practice.		to start to use a new system, process, or law for the first time	to tell someone another person’s name when they meet for the first time
15	share	To have as one's own.		to use or to have something at the same time as someone else	to have the same opinion or feeling as someone else
16	ask	To ask for ( permission or something desired ).		to speak or write to someone in order to get information from them	to speak or write to someone because you want them to give you something
17	fail	To be unsuccessful.		to be unsuccessful in achieving a satisfactory level or standard	to be unsuccessful when you try to do something
18	open	To become available.		if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time	to move a door or window into a position that allows people or things to pass through
19	bend	To make the sound of bending.		to become curved or folded and not straight	to become curved or folded and not straight
20	reach	To arrive at ; to get into touch with.		to manage to touch something or pick it up by stretching out your hand, arm, leg etc	if something such as a programme or message reaches people, they see it or hear it
21	evolve	To change over a period of time ; to adapt.		to gradually develop particular physical features	to develop something gradually
22	link	To join by means of a common fund or infrastructure.		if people, things, or events are linked, they are related to each other in some way	to connect two or more places
23	bother	To disturb, especially by minor irritations.		to annoy someone by interrupting them when they are busy or want to be left alone	to cause someone physical pain
24	manage	To succeed in some task.		to deal successfully with a person or animal whose behaviour is difficult	to succeed in doing something, especially something that needs a lot of effort or skill
25	contain	To contain ; to have as its content.		to include something, or to have it as a part	a container, envelope, room etc that contains something has something inside it
26	hunt	To try to find ; search ( for ).		to kill animals for food or for their skin or other parts, or for sport	to kill animals for food or for their skin or other parts, or for sport
27	operate	To be in operation.		if someone operates in a particular way, that is how they achieve what they want to do	if equipment operates, it works and does what it is intended to do
28	introduce	To bring ( something ) into practice.		to bring something into existence or use for the first time	to tell someone another person’s name when they meet for the first time
