,inverted
0,False
1,False
2,True
3,False
4,True
5,True
6,False
7,True
8,False
9,True
10,False
11,False
12,False
13,True
14,False
15,True
16,True
17,True
18,False
19,True
20,True
21,True
22,False
23,True
24,True
25,False
26,False
27,False
28,False
29,False
30,False
31,False
32,True
33,True
34,False
35,False
36,True
37,True
38,False
39,False
40,True
41,False
42,False
43,True
44,False
45,False
46,True
47,False
48,False
49,True
50,False
51,True
52,True
53,False
54,False
55,True
56,True
57,False
58,False
59,False
60,True
61,True
62,False
63,True
64,False
65,True
66,False
67,True
68,True
69,True
70,False
71,True
72,True
73,True
74,False
75,True
76,True
77,True
78,False
79,False
80,False
81,True
82,True
83,True
84,True
85,False
86,True
87,True
88,False
89,False
90,True
91,False
92,False
93,False
94,False
95,False
96,False
97,True
98,False
99,True
100,False
101,False
102,True
103,False
104,True
105,True
106,True
107,False
108,True
109,False
110,False
111,False
112,True
113,False
114,False
115,True
116,True
117,False
118,False
119,True
120,False
121,True
122,False
123,True
124,False
125,False
126,True
127,True
128,True
129,True
130,False
131,True
132,False
133,False
134,False
135,False
136,True
137,False
138,True
139,False
140,False
141,False
142,False
143,False
144,False
145,True
146,False
147,True
148,False
149,False
150,True
151,True
152,True
153,False
154,True
155,False
156,True
157,False
158,True
159,True
160,False
161,False
162,False
163,False
164,False
165,True
166,True
167,True
168,True
169,False
170,False
171,False
172,True
173,False
174,False
175,True
176,False
177,False
178,True
179,True
180,True
181,False
182,False
183,True
