,inverted
0,True
1,True
2,False
3,False
4,False
5,False
6,False
7,False
8,True
9,True
10,False
11,False
12,False
13,True
14,False
15,False
16,True
17,True
18,False
19,False
20,True
21,False
22,True
23,True
24,True
25,True
26,False
27,False
28,False
29,False
30,False
31,True
32,False
33,True
34,False
35,True
36,False
37,True
38,False
39,False
40,False
41,False
42,True
43,False
44,False
45,False
46,True
47,False
48,False
49,False
50,True
51,False
52,False
53,False
54,True
55,False
56,False
57,False
58,True
59,True
60,True
61,True
62,False
63,True
64,True
65,False
66,False
67,False
68,True
69,True
70,True
71,False
72,True
73,False
74,True
75,True
76,False
77,False
78,True
79,True
80,False
81,False
82,True
83,True
84,True
85,False
86,False
87,False
88,False
89,True
90,False
91,False
92,True
93,True
94,False
95,True
96,True
97,True
98,True
99,False
100,True
101,True
102,True
103,True
104,False
105,True
106,True
107,True
108,True
109,False
110,True
111,True
112,False
113,False
114,False
115,True
116,True
117,True
118,True
119,False
120,True
121,False
122,True
123,True
124,True
125,False
126,False
127,False
128,True
129,False
130,True
131,True
132,False
133,False
134,True
135,True
136,True
137,False
138,False
139,False
140,True
141,True
142,True
143,True
144,True
145,False
146,True
147,False
148,True
149,False
150,True
151,True
152,False
153,False
154,False
155,False
156,False
157,False
158,True
159,False
160,True
161,True
162,True
163,True
164,True
165,True
166,False
167,True
168,False
169,False
170,False
171,True
172,True
173,True
174,True
175,True
176,True
177,True
178,False
179,True
180,True
181,True
182,True
183,True
